Comment,Designator,Footprint,LCSC
10u,"C18,C19",C_0805_2012Metric,C15850
100R,R5,R_0805_2012Metric,C17408
10k,"R1,R2,R3",R_0805_2012Metric,C17414
1k,"R10,R4,R8,R9",R_0805_2012Metric,C17513
1M,"R11,R12,R13,R14,R15",R_0805_2012Metric,C17514
300R,"R18,R6",R_0805_2012Metric,C17617
390k,R16,R_0805_2012Metric,C17656 
SY7088,U5,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,C178240
1R,"R17,R7",R_0805_2012Metric,C25271
XB5350A,U2,SOT-23-5,C2760018
1u,C20,C_0805_2012Metric,C28323
GRN,LED2,LED_0805_2012Metric,C34499
L,L1,CKCS4018,C354573
TP4056,U4,SOP-8_3.9x4.9mm_P1.27mm,C382139
SW_Push,SW1,SW_Push_1P1T-MP_NO_Horizontal_ShouHan_TS24CA,C393942
PH2,CN1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,C442222
PH4,CN2,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,C442224
22u,"C17,C21",C_0805_2012Metric,C45783
100n,"C1,C10,C11,C12,C13,C2,C3,C4,C5,C6,C7,C8,C9",C_0805_2012Metric,C49678
RED,LED1,LED_0805_2012Metric,C84256
