sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/12-12:54:51,-4143,24.407450251237204,-180.0,23.79226526768838,105.0,23.97965461663393,100.0
0,2021/06/12-12:54:55,-4137,24.21774858895918,-180.0,25.16345697590311,105.0,28.89072413014763,100.0
0,2021/06/12-12:54:59,-4141,24.18613268664517,-180.0,26.694952679333028,105.0,38.938784000558975,100.0
1,2021/06/12-12:55:51,-4130,24.31259808110588,-180.0,44.621427435191094,105.0,101.56662287532484,100.0
1,2021/06/12-12:55:55,-4131,24.375832563625398,-180.0,45.47727284924463,105.0,101.70196805331089,100.0
1,2021/06/12-12:55:59,-4131,24.280981286180896,-180.0,46.33347574706767,105.0,101.16412106168684,100.0
2,2021/06/12-12:56:51,-4129,24.122901774569936,-180.0,57.15241550958347,105.0,100.32654557428668,100.0
2,2021/06/12-12:56:55,-4130,24.50230509957919,-180.0,57.64567190196626,105.0,100.04277351206963,100.0
2,2021/06/12-12:56:59,-4127,24.533923977557492,-180.0,58.52764747195031,105.0,99.93207965409724,100.0
3,2021/06/12-12:57:51,-4123,24.407450251237204,-180.0,66.49306249588302,105.0,99.67765565002749,100.0
3,2021/06/12-12:57:55,-4130,24.47068651920546,-180.0,66.96310243428805,105.0,100.06937092476143,100.0
3,2021/06/12-12:57:59,-4130,24.31259808110588,-180.0,67.4988420235941,105.0,100.28623933675541,100.0
4,2021/06/12-12:58:52,-4127,24.597162626359754,-180.0,74.65415962747386,105.0,100.17095930136233,100.0
4,2021/06/12-12:58:55,-4127,24.50230509957919,-180.0,75.31265448964174,105.0,100.23345598067844,100.0
4,2021/06/12-12:58:59,-4126,24.755264457027717,-180.0,75.4999720726215,105.0,99.95694897986766,100.0
5,2021/06/12-12:59:52,-4128,24.50230509957919,-180.0,82.6076026284478,105.0,100.23805008871463,100.0
5,2021/06/12-12:59:56,-4124,24.439068236427303,-180.0,82.96302016235649,105.0,99.71906980594186,100.0
5,2021/06/12-12:59:59,-4130,24.565543153147885,-180.0,83.45837965940412,105.0,99.66036726882078,100.0
6,2021/06/12-13:00:52,-4133,24.407450251237204,-180.0,89.50564658300793,105.0,99.58561091462502,100.0
6,2021/06/12-13:00:56,-4132,25.039866506239417,-180.0,89.81859543156366,105.0,99.76926796158061,100.0
6,2021/06/12-13:00:59,-4130,24.944996477080345,-180.0,90.25759134774727,105.0,100.35120182466227,100.0
7,2021/06/12-13:01:52,-4131,25.324492672969537,-180.0,96.0233069129309,105.0,100.18918622233251,100.0
7,2021/06/12-13:01:56,-4130,25.00824286545052,-180.0,96.38918891968001,105.0,100.32103068764762,100.0
7,2021/06/12-13:02:00,-4136,25.13473921512234,-180.0,96.70209120376056,105.0,99.93181496617996,100.0
8,2021/06/12-13:02:52,-4135,25.26124032915211,-180.0,101.89721087776921,105.0,100.34960416393506,100.0
8,2021/06/12-13:02:56,-4136,25.38774620807827,-180.0,101.95438062715893,105.0,99.87028087302363,100.0
8,2021/06/12-13:03:00,-4139,25.26124032915211,-180.0,101.96760958859333,105.0,99.46848958651522,100.0
9,2021/06/12-13:03:52,-4146,25.356119291608405,-180.0,104.60367975236335,105.0,99.46446813927963,100.0
9,2021/06/12-13:03:56,-4142,25.38774620807827,-180.0,104.80645553913071,105.0,99.64203362868962,100.0
9,2021/06/12-13:04:00,-4142,25.482628744560188,-180.0,104.73500255555278,105.0,100.37152971944614,100.0
10,2021/06/12-13:04:52,-4147,25.893817383518616,-180.0,105.34280763293127,105.0,99.99697818769386,100.0
10,2021/06/12-13:04:56,-4147,25.67240186010457,-180.0,105.25763998153472,105.0,100.46460487113283,100.0
10,2021/06/12-13:05:00,-4148,25.957081643280013,-180.0,105.29301763428626,105.0,100.21848074626052,100.0
11,2021/06/12-13:05:53,-4153,26.36832838888219,-180.0,105.35485341740687,105.0,100.31879645827703,100.0
11,2021/06/12-13:05:56,-4155,26.210150602646934,-180.0,105.06229847573273,105.0,99.95679412986226,100.0
11,2021/06/12-13:06:00,-4155,26.241785563743345,-180.0,105.13285929217727,105.0,99.6751084808046,100.0
12,2021/06/12-13:06:53,-4160,26.811265841098407,-180.0,105.02488272113646,105.0,99.94651913091833,100.0
12,2021/06/12-13:06:56,-4163,26.36832838888219,-180.0,105.07980083124131,105.0,99.62573302461672,100.0
12,2021/06/12-13:07:00,-4164,26.779625513506883,-180.0,105.0657364073644,105.0,99.85148228297574,100.0
13,2021/06/12-13:07:53,-4168,27.096042210279638,-180.0,104.86258071581591,105.0,99.6942869746293,100.0
13,2021/06/12-13:07:57,-4168,26.779625513506883,-180.0,104.98824074094915,105.0,100.13840523834456,100.0
13,2021/06/12-13:08:00,-4173,27.00111406953774,-180.0,105.21711885053959,105.0,100.47211839246597,100.0
14,2021/06/12-13:08:53,-4181,27.792263954774885,-180.0,105.14960621960762,105.0,100.18165119244898,100.0
14,2021/06/12-13:08:57,-4186,27.792263954774885,-180.0,104.92841915530047,105.0,100.3495587022671,100.0
14,2021/06/12-13:09:01,-4187,27.15932912889995,-180.0,104.97119396487456,105.0,99.97571657915654,100.0
15,2021/06/12-13:09:53,-4190,27.665667440390905,-180.0,105.14004623825593,105.0,100.28948896247806,100.0
15,2021/06/12-13:09:57,-4190,27.63401905793233,-180.0,105.19627394605197,105.0,99.76973227490878,100.0
15,2021/06/12-13:10:01,-4190,27.63401905793233,-180.0,105.01732005689959,105.0,99.62730251230586,100.0
16,2021/06/12-13:10:53,-4192,28.551943349391095,-180.0,105.06362211896528,105.0,99.63218734323804,100.0
16,2021/06/12-13:10:57,-4194,28.425318172785786,-180.0,105.13629101248256,105.0,99.72190353953478,100.0
16,2021/06/12-13:11:01,-4195,28.520286607235885,-180.0,105.21322668025906,105.0,100.30590706768456,100.0
17,2021/06/12-13:11:54,-4199,28.83686747053916,-180.0,105.06969796329058,105.0,100.3708554823835,100.0
17,2021/06/12-13:11:57,-4204,28.646915367987912,-180.0,105.37754915290346,105.0,100.6163001341416,100.0
17,2021/06/12-13:12:01,-4207,28.710231540580903,-180.0,105.14338482586324,105.0,100.28172687362894,100.0
18,2021/06/12-13:12:54,-4210,28.74189007496117,-180.0,105.11533930153455,105.0,100.47148638169155,100.0
18,2021/06/12-13:12:58,-4213,28.963508180645107,-180.0,105.04889719125845,105.0,99.88951623305903,100.0
18,2021/06/12-13:13:01,-4211,29.248467258600947,-180.0,104.89558159437856,105.0,99.68511219101796,100.0
19,2021/06/12-13:13:54,-4216,29.058491850521538,-180.0,105.35381624882642,105.0,99.75765581687115,100.0
19,2021/06/12-13:13:58,-4216,29.43845342597229,-180.0,105.24956873729657,105.0,100.05648758541753,100.0
19,2021/06/12-13:14:01,-4221,29.31179478549115,-180.0,105.22195092757684,105.0,100.29249125484971,100.0
20,2021/06/12-13:14:54,-4222,29.723452854699346,-180.0,105.02339949347859,105.0,100.10056383397458,100.0
20,2021/06/12-13:14:58,-4223,29.786789349823803,-180.0,105.094138413135,105.0,100.45943701959756,100.0
20,2021/06/12-13:15:02,-4224,29.850127041001045,-180.0,105.01814052857551,105.0,100.12652759939179,100.0
21,2021/06/12-13:15:54,-4225,29.4067883174932,-180.0,104.88453110861354,105.0,100.3193450660481,100.0
21,2021/06/12-13:15:58,-4227,30.67362589792377,-180.0,104.79888195425788,105.0,99.84020654072563,100.0
