sample,time,mcu_pos_z,frame_t,chamber_t,bed_t,bed_target,he_t,he_target
0,2021/06/05-13:24:41,-80532,27.568766143873177,29.479851409797902,31.39743830354782,105.0,100.0856790769593,100.0
0,2021/06/05-13:24:45,-80532,27.5098595014569,29.535134293320937,32.282896118170335,105.0,99.59960990388412,100.0
0,2021/06/05-13:24:48,-80531,27.55405010811836,29.452173421510338,33.645926621735285,105.0,99.34717127398301,100.0
1,2021/06/05-13:25:41,-80531,27.6275596715563,29.424470999581672,48.996064094734685,105.0,100.04356899352145,100.0
1,2021/06/05-13:25:44,-80529,27.642240440169132,29.34121660931396,49.80205067021904,105.0,99.56683468362327,100.0
1,2021/06/05-13:25:48,-80529,27.656914179619605,29.35510770474042,50.62547155585387,105.0,99.36809137273649,100.0
2,2021/06/05-13:26:41,-80529,27.612871865711327,29.755298801909646,59.762340497558796,105.0,99.90843308389802,100.0
2,2021/06/05-13:26:44,-80528,27.6275596715563,29.83746523330518,60.32721723673741,105.0,99.52684001747214,100.0
2,2021/06/05-13:26:48,-80528,27.656914179619605,29.796408787476764,60.834395556306546,105.0,99.41006546788644,100.0
3,2021/06/05-13:27:41,-80527,27.715539006702784,30.433581126802494,67.60426431867107,105.0,99.81163313535073,100.0
3,2021/06/05-13:27:45,-80527,27.656914179619605,30.55414623183617,68.03701664831485,105.0,99.45964074199026,100.0
3,2021/06/05-13:27:48,-80527,27.774052009128013,30.594233347553086,69.00504275037629,105.0,99.43417149030118,100.0
4,2021/06/05-13:28:41,-80527,27.817863682803647,31.47666644728986,76.85648097493035,105.0,99.6841175649443,100.0
4,2021/06/05-13:28:45,-80525,27.817863682803647,31.47666644728986,77.16437677148619,105.0,99.42717844891442,100.0
4,2021/06/05-13:28:49,-78805,27.84703678499278,31.48965520230297,77.43316104305285,105.0,99.54389481183713,100.0
5,2021/06/05-13:29:41,-78805,27.992488490418395,32.44926270026093,81.76357797902276,105.0,99.65351169363052,100.0
5,2021/06/05-13:29:45,-80523,27.94892514848891,32.42403705746966,82.05905282630916,105.0,99.42025743243266,100.0
5,2021/06/05-13:29:49,-80523,28.006995914797017,32.43665231281352,82.37885342665975,105.0,99.53836874062819,100.0
6,2021/06/05-13:30:41,-80522,28.252583101693574,33.221787675855694,87.02888025853098,105.0,99.61279547923046,100.0
6,2021/06/05-13:30:45,-80521,28.137256221240875,33.28330553927623,87.3696304639651,105.0,99.46076950339479,100.0
6,2021/06/05-13:30:49,-80521,28.122810007438886,33.2710111211461,87.68651458220242,105.0,99.63137429688206,100.0
7,2021/06/05-13:31:42,-80521,28.32444432373751,34.252403707840074,92.14754507079728,105.0,99.50411140819182,100.0
7,2021/06/05-13:31:45,-80520,28.353142103893333,34.28820325400119,92.49727426900603,105.0,99.41819888410389,100.0
7,2021/06/05-13:31:49,-80520,28.353142103893333,34.46663057830341,92.80365232685284,105.0,99.67408492746978,100.0
8,2021/06/05-13:32:42,-80519,28.524772218449243,35.287037708350056,97.27156364149879,105.0,99.53288310911623,100.0
8,2021/06/05-13:32:45,-80518,28.567531601749124,35.37954740517671,97.55628137032927,105.0,99.43654439878004,100.0
8,2021/06/05-13:32:49,-80518,28.581771638666396,35.35644352258697,97.85282575242738,105.0,99.67235063375142,100.0
9,2021/06/05-13:33:42,-80518,28.723813857016808,36.470603214043535,101.69845775221539,105.0,99.46986842089231,100.0
9,2021/06/05-13:33:46,-80517,28.836982032009075,36.448221793068456,101.95096771142593,105.0,99.43130094561245,100.0
9,2021/06/05-13:33:49,-80516,28.87931421394211,36.61573124142575,102.18550341390682,105.0,99.73909870256767,100.0
10,2021/06/05-13:34:42,-80516,29.076107657162538,37.67995651906307,104.8751039316592,105.0,99.46327446588356,100.0
10,2021/06/05-13:34:46,-80516,29.104119957683395,37.83092700349937,105.12769445479047,105.0,99.45340791860694,100.0
10,2021/06/05-13:34:50,-80516,29.146091366170367,37.766304360534264,105.40517017546794,105.0,99.77045245287535,100.0
11,2021/06/05-13:35:42,-80515,29.36899264591699,38.891025530722345,105.61181882271633,105.0,99.45145917744539,100.0
11,2021/06/05-13:35:46,-80516,29.479851409797902,38.83876076119378,105.40301055698522,105.0,99.46341143181861,100.0
11,2021/06/05-13:35:50,-80516,29.39674409183334,38.891025530722345,104.8947317667292,105.0,99.79783166331407,100.0
12,2021/06/05-13:36:42,-80516,29.63164590980523,39.63536224790147,104.8184812942346,105.0,99.46438795981521,100.0
12,2021/06/05-13:36:46,-80517,29.714135107314917,39.62512826824326,104.87023908691141,105.0,99.47925031926137,100.0
12,2021/06/05-13:36:50,-80517,29.70040191106665,39.6864890087752,104.71079379351777,105.0,99.78703466873806,100.0
13,2021/06/05-13:37:43,-80517,29.973935534018494,40.23414223393689,104.41913453259619,105.0,99.43547027860853,100.0
13,2021/06/05-13:37:46,-80519,30.001158976780857,40.203931028128636,104.585609579953,105.0,99.44967027505801,100.0
13,2021/06/05-13:37:50,-80519,30.041950235091235,40.21400419259561,104.5499691938764,105.0,99.77896558554544,100.0
14,2021/06/05-13:38:43,-80518,30.285600131058686,40.93213022473083,104.87825857190894,105.0,99.4277734206882,100.0
14,2021/06/05-13:38:46,-80519,30.366402488017286,41.00121054073179,104.81498290499502,105.0,99.44684174915197,100.0
14,2021/06/05-13:38:50,-80519,30.379849581817098,41.04062745168284,105.10096899609034,105.0,99.79871025806281,100.0
15,2021/06/05-13:39:43,-80519,30.767364111699123,41.66570198707507,105.34958111174072,105.0,99.41052258747105,100.0
15,2021/06/05-13:39:46,-80521,30.634270094684666,41.78175190465555,105.01746748994937,105.0,99.49385389208885,100.0
15,2021/06/05-13:39:50,-80521,30.674256626793465,41.69474804385072,104.99503882799873,105.0,99.87384657330387,100.0
16,2021/06/05-13:40:43,-80522,31.04507036004378,42.156466993607125,105.12503272591017,105.0,99.40356333693175,100.0
16,2021/06/05-13:40:47,-80524,31.01872568606376,42.10863361663547,105.02933958378128,105.0,99.4988414553218,100.0
16,2021/06/05-13:40:50,-80524,31.005545224037007,42.099059688226475,105.01923967145468,105.0,99.91357558813696,100.0
17,2021/06/05-13:41:43,-80524,31.42465904096656,42.71640105796416,105.31707866315264,105.0,99.38767891838827,100.0
17,2021/06/05-13:41:47,-80526,31.359531526059698,42.72582097782271,104.88440314464577,105.0,99.53621972569755,100.0
17,2021/06/05-13:41:51,-80526,31.398623833716954,42.69755425691915,104.58775661758116,105.0,99.99659659629847,100.0
18,2021/06/05-13:42:43,-80527,31.67095112532064,43.03538666443518,106.02805602836574,105.0,99.40247003438836,100.0
18,2021/06/05-13:42:47,-80528,31.722563697319515,43.02604246327047,105.72825417268089,105.0,99.60992407070401,100.0
18,2021/06/05-13:42:51,-80529,31.696767705404227,42.96056938992234,105.19204774219982,105.0,100.03309111747488,100.0
19,2021/06/05-13:43:43,-80529,32.056056155450506,43.51819180911741,105.00622255488352,105.0,99.42644032965286,100.0
19,2021/06/05-13:43:47,-80530,32.030524203002244,43.42581176274649,105.06412311795737,105.0,99.59466827485842,100.0
19,2021/06/05-13:43:51,-80530,32.107059986829256,43.59193773020701,105.44088647817472,105.0,100.03189744845434,100.0
20,2021/06/05-13:44:43,-80530,32.373527264701465,43.92207475999794,105.40841583248034,105.0,99.42504337028036,100.0
20,2021/06/05-13:44:47,-80532,32.32293921507642,43.88553066345679,105.49577964178972,105.0,99.61869692300701,100.0
20,2021/06/05-13:44:51,-80532,32.43665231281352,43.88553066345679,105.38292002134732,105.0,100.00891504443632,100.0
21,2021/06/05-13:45:43,-80532,32.67542248736686,44.0861016772493,104.63726880345617,105.0,99.42017559648181,100.0
21,2021/06/05-13:45:47,-80534,32.66289894013704,44.122458938260195,105.02887790639437,105.0,99.60263961223376,100.0
21,2021/06/05-13:45:51,-80533,32.7629536887552,44.06791038463791,105.54462262977569,105.0,100.05506348047734,100.0
22,2021/06/05-13:46:44,-80534,32.9373193316855,44.43014358821682,105.2972093908699,105.0,99.41856384853703,100.0
22,2021/06/05-13:46:47,-80536,33.01176545016489,44.46618408726766,104.91280150354334,105.0,99.60260306701213,100.0
22,2021/06/05-13:46:51,-80536,33.048925507107754,44.439156803019955,104.66700323596235,105.0,99.99646308507711,100.0
23,2021/06/05-13:47:44,-80537,33.381496755623175,44.73544427468835,104.9067225479291,105.0,99.41946321071181,100.0
23,2021/06/05-13:47:48,-80537,33.369238771613595,44.69964866814922,105.39603721564754,105.0,99.56333358379054,100.0
23,2021/06/05-13:47:51,-80537,33.40599912115732,44.73544427468835,105.4317270812248,105.0,99.98258172223056,100.0
24,2021/06/05-13:48:44,-80537,33.77137984180325,44.88721604438092,105.07824916868213,105.0,99.42554780425316,100.0
24,2021/06/05-13:48:48,-80539,33.71076134024247,44.93174459403468,104.87959456821287,105.0,99.54853332950204,100.0
24,2021/06/05-13:48:52,-80539,33.819795314649014,44.851557232078505,105.0140660321105,105.0,99.99141862911245,100.0
25,2021/06/05-13:49:44,-78819,34.06082409687218,44.601043484257616,104.71189855743712,105.0,99.4628998168279,100.0
25,2021/06/05-13:49:48,-80541,34.06082409687218,44.762269769024726,104.60158937643867,105.0,99.53213251651125,100.0
25,2021/06/05-13:49:52,-80541,34.16872245939993,44.753329955172376,104.84362225171567,105.0,99.90567974851926,100.0
26,2021/06/05-13:50:44,-80541,34.383482418468304,44.80693862347778,105.01308375421297,105.0,99.47181472653931,100.0
26,2021/06/05-13:50:48,-80542,34.49034947933717,45.02065238127727,104.80904770882232,105.0,99.54920593291062,100.0
26,2021/06/05-13:50:52,-80542,34.44289493909025,44.77120756692176,104.9602921664675,105.0,99.93227932867008,100.0
27,2021/06/05-13:51:44,-80542,34.71484979492203,44.97622332283481,105.24559358405998,105.0,99.44492826098802,100.0
27,2021/06/05-13:51:48,-80543,34.761923199296575,45.056159966077814,105.23778131432546,105.0,99.57154511879645,100.0
27,2021/06/05-13:51:52,-80544,34.77368130569255,45.10936208571667,105.21810179889846,105.0,99.95763755494448,100.0
28,2021/06/05-13:52:44,-80544,35.05465671613234,45.47102605548895,104.22720114831432,105.0,99.46634715380296,100.0
28,2021/06/05-13:52:48,-80545,35.05465671613234,45.321464300990954,104.23239980769304,105.0,99.55477479292738,100.0
28,2021/06/05-13:52:52,-80545,35.04299581988852,45.41830324352958,104.57041079273984,105.0,99.92313665978597,100.0
29,2021/06/05-13:53:44,-80545,35.40263563765859,45.56750509028075,105.28547853240028,105.0,99.4566928363009,100.0
29,2021/06/05-13:53:48,-80546,35.50633972215394,45.62878049749628,105.47164264925027,105.0,99.5465124078312,100.0
29,2021/06/05-13:53:52,-80546,35.43723870033557,45.602531035889285,105.17427222389747,105.0,99.91142544340262,100.0
30,2021/06/05-13:54:45,-80547,35.74709895886048,45.82075578584784,105.04174459553906,105.0,99.5170988902438,100.0
30,2021/06/05-13:54:48,-80547,35.74709895886048,45.68996276647624,105.22593961095853,105.0,99.53684821437614,100.0
